Source,Target,Weight
Hebron,Jayus,74.73320681774467
Hebron,Hajjah,75.03765984032025
Hebron,Hablah,71.4390422247281
Hebron,al-Funduq,72.91433082521442
Hebron,Kafr Laqif,72.498094092446
Hebron,Immatin,73.82874741326653
Hebron,Jinsafut,72.3602898048403
Hebron,Ras 'Atiya,70.5610121542246
Hebron,'Arab a-Ramadin al-Janubi,72.34471592790426
Hebron,Qalqiliyah,74.78919425468516
Hebron,Jit,76.85952092796941
Hebron,'Ein Samia,55.75188630849484
Hebron,Beit Sira,40.06999599502962
Hebron,a-Lubban al-Gharbiyah,56.49565706176722
Hebron,Ramallah,42.77651082562901
Hebron,al-Mazra'ah al-Qibliyah,47.250331488508955
Hebron,Ni'lin,47.00068727003766
Hebron,Um Safa,53.63187213120174
Hebron,Deir a-Sudan,56.02928170999828
Hebron,Deir 'Ammar,48.585819640430344
Hebron,Sinjil,58.192845148980695
